"""Kernel""","""Salinity""","""Species""","""Day 0""","""Day 1""","""Day 2""","""Day 3""","""Day 4""","""Day 5""","""Day 6""","""Day 7""","""Day 8""","""Day 9""","""Day 10"""
2,HS,I,1.514285714,3.539106145,3.672489083,3.045248869,3.476190476,3.265060241,3.822222222,4.607142857,4.513513514,4.3375,4.783783784
2,HS,I,1.672985782,3.528700906,4.578125,4.328165375,5.406304729,5.199652778,6.127697842,6.272045028,6.271689498,6.536407767,6.284057971
2,HS,I,1.692307692,2.843930636,3.320132013,3.812030075,4.363166954,6.003159558,6.496763754,6.756493506,6.760273973,6.848648649,6.83299389
2,HS,I,1.548245614,4.183333333,3.752066116,3.014925373,3.966666667,4.2,4.634146341,3.777777778,4.044444444,3.65625,3.6
2,HS,I,1.59375,3.395904437,3.906103286,3.889502762,3.688888889,4.951612903,4.782608696,5.070866142,4.949152542,4.294117647,4.231884058
2,HS,I,1.741935484,3.391111111,3.502702703,2.775757576,3.413461538,3.688888889,5.2,5.359116022,4.679738562,6,5.771812081
2,HS,I,1.514705882,2.845637584,3.090909091,2.938271605,3,3.92,4.703296703,5.529411765,5.132352941,4.75,4.974358974
2,HS,I,1.46875,2.9408867,2.845070423,3.556097561,4.664359862,4.506134969,5.576323988,5.923076923,5.837962963,5.339449541,4.775757576
2,HS,I,1.480446927,2.991525424,3.648351648,3.632231405,3.677042802,4.833948339,6.634408602,6.789017341,6.411949686,6.167259786,6.267782427
2,HS,I,1.577981651,3.244274809,4.017910448,3.625498008,2.995594714,5.410764873,6.213450292,6.15625,6.348101266,6.395498392,6.596666667
2,HS,I,1.686915888,3.384313725,4.003225806,4.247104247,3.765550239,4.975352113,6.06,5.467625899,5.745901639,5.771551724,5.183908046
2,HS,I,1.592391304,3.417040359,3.486338798,3.938356164,3.768181818,4.966942149,5.965250965,5.966666667,6.095454545,5.288135593,5.087719298
2,HS,I,1.613065327,3.299242424,3.956284153,4.672131148,4.638202247,6.307240705,6.117764471,6.547368421,6.636138614,6.465116279,6.787061995
2,HS,I,1.536458333,3.5,3.81300813,4.975,5.112554113,5.417670683,5.299516908,5.280898876,5.21686747,4.752212389,4.341176471
2,HS,I,1.47979798,3.513994911,3.875675676,4.63003663,3.263888889,3.62745098,4.163522013,4.56097561,3.755319149,4.393258427,3.85915493
2,HS,I,1.588832487,3.526501767,4.332552693,4.852362205,5.058919804,6.520348837,6.447194719,6.490693739,6.670731707,6.833941606,7.001883239
2,HS,I,1.507936508,3.911483254,3.863636364,3.851311953,4.181528662,5.13740458,5.560165975,6.155462185,6.376033058,6.538834951,6.480874317
