"""Kernel""","""Salinity""","""x""","""y"""
2,HS,-0.359477124,0.033961781
2,HS,0.395833333,0.2670245
2,HS,0.990654206,0.016187391
2,HS,-0.412587413,1.017428446
2,HS,-0.121546961,1.521525295
2,HS,0.951219512,0
2,HS,0.326164875,0.906377842
2,HS,0.081896552,1.590201819
2,HS,-0.031809145,1.394593593
2,HS,-0.313953488,0.073847127
2,HS,1,0
2,HS,1,0
2,HS,0.942675159,0.099289537
2,HS,-0.005494505,0.133234678
2,HS,-0.037878788,0.511742284
2,HS,0.598393574,0.695602734
2,HS,1,0
2,HS,-0.775100402,0.361713422
2,HS,-0.416666667,0
2,HS,1,0
2,HS,-0.153119093,0
2,HS,0.369014085,0.302499014
2,HS,0.920972644,0.136879395
2,HS,0.737642586,0.454416372
2,HS,-0.941489362,0.101343398
2,HS,0.916030534,0.145439381
2,HS,0.061371841,0
2,HS,-0.218181818,0.787295822
2,HS,0.626794258,0
2,HS,1,0
2,HS,0.208333333,0.457068963
2,HS,0.6875,0.541265877
2,HS,-0.779552716,0.381825897
2,HS,0,1/Sqrt[3]
2,HS,-0.214659686,1.360249325
2,HS,0.944444444,0
2,HS,-0.111111111,0
2,HS,-1,0
2,HS,0.053921569,0.161318458
2,HS,0.726775956,0.473237926
2,HS,0.351351351,0
2,HS,1,0
2,HS,0.040669856,1.454425439
2,HS,-0.18627451,1.392433002
2,HS,1,0
2,HS,0.561904762,0.758803211
2,HS,1,0
2,HS,1,0
2,HS,-0.309178744,1.196537514
2,HS,-0.583333333,0.721687836
2,LS,-0.727272727,0
2,LS,0.475806452,0
2,LS,-0.576131687,0.078405592
2,LS,-0.471428571,0
2,LS,1,0
2,LS,-0.835164835,0.28550288
2,LS,0,1.732050808
2,LS,0.671428571,0.569102408
2,LS,-1,0
2,LS,0.838461538,0.279792823
2,LS,-1,0
2,LS,-0.834862385,0.127122995
2,LS,-0.527859238,0.340314968
2,LS,1,0
2,LS,-0.195402299,1.393604098
2,LS,0,1.732050808
2,LS,0.540453074,0.639009036
2,LS,0,1.732050808
2,LS,-1,0
2,LS,-0.964383562,0.061689481
2,LS,-0.424242424,0
2,LS,0,1.732050808
2,LS,1,0
2,LS,0.617647059,0.203770683
2,LS,-0.029411765,1.681108137
2,LS,-0.024,0.914522826
2,LS,0.145454545,1.480116145
2,LS,0.432989691,0
2,LS,0.798994975,0.348150916
2,LS,-0.375,1.082531755
2,LS,-1,0
2,LS,-0.536144578,0.803421158
2,LS,0.558073654,0.765438884
2,LS,0.92248062,0
2,LS,-0.085148515,1.495394361
2,LS,-0.911646586,0
2,LS,-0.014285714,0.123717915
2,LS,-0.018475751,1.540045175
2,LS,-0.626728111,0.646525877
2,LS,-0.215946844,0.81711367
2,LS,0.175257732,1.428495511
