"""Kernel""","""Salinity""","""x""","""y"""
2,LS,-1,0
2,LS,0,1/Sqrt[3]
2,LS,0.818639798,0
2,LS,0.069767442,0
2,LS,-1,0
2,LS,0,1/Sqrt[3]
2,LS,-0.806722689,0.334766122
2,LS,-0.758974359,0.399704033
2,LS,1,0
4,HS,0.107784431,1.524619573
4,HS,-0.664268585,0.323980727
4,HS,0.309734513,0
4,HS,0.387878788,1.06022504
4,HS,-0.370967742,0.16761782
4,HS,0.056338028,1.63447048
4,HS,-0.128358209,0
4,HS,0.15,1.068097998
4,HS,-0.673267327,0
4,HS,-1,0
4,HS,-1,0
4,HS,-0.372262774,0
4,HS,0,1.732050808
4,HS,0.929155313,0.122706597
4,HS,-0.55952381,0.680448532
4,HS,-0.530201342,0.813715144
4,HS,-0.26119403,0.064628761
4,HS,0.43220339,0.983452577
4,HS,-0.049315068,1.646634603
4,HS,0.396226415,1.045766525
4,HS,0.771186441,0.39631671
4,HS,1,0
4,HS,0.971631206,0.049136193
4,HS,0.134715026,1.498717538
4,HS,-0.615,0.614878037
4,HS,1,0
4,HS,0.899328859,0.174367531
4,HS,0.680701754,0.006077371
4,HS,-0.583333333,0.577350269
4,HS,1,0
4,HS,-1,0
4,HS,0.714902808,0.493802822
4,HS,0.25,0.364642275
4,HS,0,1.732050808
4,HS,0.812807882,0.32422626
4,HS,0.658333333,0.591784026
4,HS,0.327635328,1.164569774
4,HS,0.106796117,0
4,HS,-0.586826347,0.197059673
4,HS,-1,0
4,HS,-0.103658537,0.010561285
4,HS,-0.785100287,0.163775578
4,HS,-0.573770492,0
4,HS,0.396761134,1.044840366
4,HS,1,0
4,HS,1,0
4,HS,1,0
4,HS,-0.363636364,0
4,HS,0.721052632,0.483151015
4,HS,0.730769231,0
4,LS,-1,0
4,LS,-0.256198347,0
4,LS,-0.39192399,0.485467922
4,LS,-0.834254144,0
4,LS,-0.376899696,1.079241385
4,LS,-0.428571429,0
4,LS,0.251256281,1.14019425
4,LS,0.190045249,1.402882781
4,LS,-0.756476684,0
4,LS,0.279411765,1.248095435
4,LS,0.333333333,0.450137498
4,LS,-0.391791045,0.950042794
4,LS,-0.330960854,0
4,LS,0,1/Sqrt[3]
4,LS,0.047923323,1.649045178
4,LS,-0.790055249,0
4,LS,0.32361516,0.030298265
4,LS,0.26635514,0.250904556
4,LS,0.18974359,0
4,LS,0.991189427,0.01526036
4,LS,-0.546391753,0
4,LS,0.201877934,1.382387968
4,LS,0,1.732050808
4,LS,0.073529412,0.815082733
4,LS,-0.06741573,1.615283337
4,LS,-0.188481675,0.408074798
4,LS,-1,0
4,LS,-1,0
4,LS,1,0
4,LS,-0.961748634,0.06625331
4,LS,0.677083333,0.559308073
4,LS,0.59223301,0.706273145
4,LS,0.159722222,0.324759526
4,LS,0.016483516,1.70350052
4,LS,-1,0
4,LS,-0.029850746,1.680347798
4,LS,-0.904191617,0.165944988
4,LS,0.957894737,0.072928455
4,LS,-0.767741935,0.245839469
4,LS,1,0
4,LS,-0.107142857,0.340224266
4,LS,-0.992753623,0.012551093
4,LS,0.514563107,0.246635066
4,LS,1,0
4,LS,1,0
4,LS,-1,0
4,LS,0.466666667,0.036464228
4,LS,-0.8125,0
4,LS,0.6,0.692820323
4,LS,0.292134831,0.084332062
