"""Kernel""","""Salinity""","""x""","""y"""
2,HS,-0.346693387,0.34710437
2,HS,0.46177686,0.399015837
2,HS,0.547017189,0.220665725
2,HS,-0.097713098,1.245924282
2,HS,-0.00149925,0.940033572
2,HS,-0.14004914,0.144692205
2,HS,-0.072093023,0.600175745
2,HS,0.149671053,0.521324503
2,HS,0.365325077,0.552325799
2,HS,0.171612903,0.460390279
2,HS,0.151202749,0.297603232
2,HS,0.073770492,0.487435063
2,HS,0.533869116,0.349989601
2,HS,-0.029239766,0.506447605
2,HS,0.146417445,0.798577942
2,HS,0.75,0.27634479
2,HS,-0.078525641,0.030532947
2,HS,-0.196994992,1.020724433
2,HS,-0.163232964,0.620354172
2,HS,0.253863135,0.458821406
2,HS,0.188577586,0.173578368
2,HS,0.218079096,0.426652063
2,HS,0.642365887,0.457432951
2,HS,0.26625387,0.841894665
2,HS,-0.135897436,0.293116291
2,HS,0.476648352,0.601935239
2,HS,0.394160584,0.391923905
2,HS,-0.092384519,0.69844246
2,HS,0.072727273,0.323915995
2,HS,0.345776031,0.643138709
2,HS,0.031536114,0.623749731
2,HS,0.503184713,0.345674683
2,HS,0.037735849,0.303459036
2,HS,-0.684210526,0.546963413
2,HS,-0.281105991,1.08552493
2,HS,0.350993377,0.144201013
2,HS,-0.386516854,0.252996185
2,HS,-0.001319261,0.491280902
2,HS,0.192922374,0.342060262
2,HS,0.389403974,0.878642992
2,HS,0.128065395,0.349241852
2,HS,0.609375,0.288675135
2,HS,0.302915082,0.7200414
2,HS,-0.126358696,0.642459063
2,HS,0.031078611,1.063928832
2,HS,0.268211921,0.736026005
2,HS,0.314144737,0.720738247
2,HS,0.073839662,0.1169317
2,HS,-0.175273865,0.702036243
2,HS,-0.26899696,0.43432885
2,LS,-0.328220859,0.541930007
2,LS,0.171277997,0.093562692
2,LS,0.133738602,0.473813291
2,LS,0.15497553,0.242995709
2,LS,0.269716088,0.357884315
2,LS,-0.541666667,0.79385662
2,LS,0.162068966,0.762500528
2,LS,0.67486819,0.076100651
2,LS,-0.296812749,0.672808581
2,LS,0.111226611,0.570748551
2,LS,0.0433213,0.694070901
2,LS,-0.189839572,0.893812315
2,LS,-0.402885683,0.242217982
2,LS,0.120954003,0
2,LS,-0.358531317,0.576103292
2,LS,-0.113785558,1.087743067
2,LS,0.0777667,0.367823352
2,LS,0.030516432,1.08558114
2,LS,-0.679702048,0.141918502
2,LS,-0.702660407,0.368636792
2,LS,-0.059748428,0.58824367
2,LS,0.474712644,0.862043678
2,LS,-0.216432866,0.274212453
2,LS,0.401650619,0.702826669
2,LS,-0.144086022,1.132351496
2,LS,-0.247747748,0.631964484
2,LS,0.216138329,0.723767629
2,LS,0.503685504,0.459610534
2,LS,0.235942668,0.299814748
2,LS,0.399583767,0.773204783
2,LS,-0.676056338,0.395200325
2,LS,-0.322972973,0.779422863
2,LS,0.319532909,0.895444526
2,LS,-0.371851852,0.348976163
2,LS,-0.17244898,0.878397195
2,LS,-0.361731844,0.302383172
2,LS,0.180288462,0.308105192
2,LS,0.058669002,1.008593509
2,LS,-0.912663755,0.151270813
2,LS,0.19395466,0.680604348
2,LS,0.133250311,0.746313299
2,LS,0.22253923,0.882085789
2,LS,-0.791519435,0.214211231
2,LS,0.192546584,0.387290864
2,LS,0.112517581,0.153472856
2,LS,-0.069637883,0.453517482
2,LS,-0.192926045,0.941210889
2,LS,-0.12312812,0.383299097
2,LS,-0.094994893,0.97660066
2,LS,0.194092827,0.095007006
3,HS,-0.30316092,0.171711934
3,HS,0.633851468,0.335042643
3,HS,-0.394845361,0.948163896
3,HS,0.467486819,0.435295721
3,HS,-0.085239085,0.72738932
3,HS,0.344709898,0.516265428
3,HS,0.066666667,0.575250814
3,HS,-0.540412044,0.236063977
3,HS,-0.415584416,0.796293488
3,HS,-0.801313629,0.11660769
3,HS,0.192,0.357495287
3,HS,0.030257186,0.621022756
3,HS,0.154004107,0.66863563
3,HS,-0.094993582,0.455802844
3,HS,0.118353345,0.623894802
3,HS,0.398181818,0.683372773
3,HS,0.464968153,0.150037522
3,HS,0.709183673,0.156120226
3,HS,0.315662651,0.283805915
3,HS,0.140070922,0.703261764
3,HS,0.182072829,0.443120375
3,HS,-0.739884393,0.16018967
3,HS,0.386574074,0.26862825
3,HS,0.255737705,0.073825116
3,HS,0.189309577,0.717508798
3,HS,0.589928058,0.585657467
3,HS,-0.542372881,0.365625517
3,HS,-0.069948187,0.682051095
3,HS,0.187853107,0.70700944
3,HS,0.028294862,0.630657368
3,HS,0.310416667,0.599000904
3,HS,-0.087415946,0.429269076
3,HS,-0.196018377,1.03180362
3,HS,-0.133991537,0.469046199
3,HS,0.680390033,0.358420048
3,HS,-0.018181818,1.070722317
3,HS,-0.137214137,1.242323344
3,HS,0.070866142,0.727370418
3,HS,0.563176895,0.252199937
3,HS,0.698214286,0.157740341
3,HS,-0.190243902,0.625228096
3,HS,-0.036093418,0.242707756
3,HS,-0.476765799,0.587545116
3,HS,-0.359327217,0.45287567
3,HS,-0.572744015,0.708131269
3,HS,0.281786942,0.726151885
3,HS,-0.614754098,0.468505546
3,HS,0.526200873,0.298759855
3,HS,0.315789474,0.854208293
3,HS,-0.188679245,0.714879461
3,LS,-0.130604288,0.236342215
3,LS,0.176220807,0.625156342
3,LS,-0.093220339,1.401786882
3,LS,0.444705882,0.374938057
3,LS,0.14251497,0.746752444
3,LS,-0.699576869,0.368885292
3,LS,-0.14119171,0.150320472
3,LS,0.011976048,0.686597386
3,LS,0.383458647,0.755330427
3,LS,0.172279793,0.141346115
3,LS,-0.149466192,0.412980086
3,LS,0.543897216,0.433939924
3,LS,0.358044164,0.128401243
3,LS,0.108610568,0.289804979
3,LS,-0.422535211,0.019516065
3,LS,0.033573141,0.560735873
3,LS,0.4375,0.622966387
3,LS,0.724505327,0.023726723
3,LS,0.240188383,0.750464714
3,LS,-0.261494253,1.080043176
3,LS,0.242391304,1.026051837
3,LS,-0.147713951,0.838613111
3,LS,0.067493113,0.775367097
3,LS,-0.743536711,0.411966583
3,LS,-0.159061278,0.666173388
3,LS,-0.62841016,0.38616749
3,LS,0.161528977,0.687694649
3,LS,-0.14691358,0.288675135
3,LS,-0.30995106,0.014127657
3,LS,-0.767511177,0.392357262
3,LS,-0.336092715,0.628011799
3,LS,0.202797203,0.508714223
3,LS,0.038054968,0.867856324
3,LS,0.547368421,0.164089024
3,LS,-0.018950437,0.608490153
3,LS,0.193438914,0.103844675
3,LS,-0.664529915,0.040710596
3,LS,-0.009367681,0.685518938
3,LS,-0.608856089,0.134217959
3,LS,-0.125760649,0.502400133
3,LS,0.488954345,0.359674763
3,LS,-0.711370262,0.257535251
3,LS,0.166666667,1.27990903
3,LS,-0.067982456,1.052144898
3,LS,-0.212538226,0.532327542
3,LS,-0.445398773,0.310281494
3,LS,0.64416476,0.160521871
3,LS,0.025423729,0.164724229
3,LS,0.659327926,0.365276068
3,LS,-0.283618582,0.359961659
4,HS,0.116621984,0.749936208
4,HS,-0.308656036,0.467535355
4,HS,0.234736842,0.632654348
4,HS,0.440251572,0.69354655
4,HS,-0.187272727,0.437736477
4,HS,0.634883721,0.551839443
4,HS,0.298586572,0.165248664
4,HS,0.134380454,0.229730997
4,HS,-0.081267218,0.336390033
4,HS,-0.506382979,0.85496976
4,HS,-0.059490085,0.80469216
4,HS,-0.335294118,0.132450944
4,HS,0.201166181,1.131135221
4,HS,0.521516393,0.296365251
4,HS,0.210272873,0.411466323
4,HS,-0.189290162,0.782981872
4,HS,-0.117256637,0.456004527
4,HS,-0.01056338,0.266312976
4,HS,0.395858709,0.468349914
4,HS,0.164670659,1.38460349
4,HS,0.179648241,0.663662684
4,HS,0.388888889,0.731310341
4,HS,-0.075609756,0.502717186
4,HS,0.248259861,1.149342299
4,HS,0.113602392,0.686088885
4,HS,0.858672377,0.022253329
4,HS,0.562141491,0.221887962
4,HS,0.15212528,0.391358236
4,HS,0.469667319,0.823656255
4,HS,0.38184438,0.496654338
4,HS,-0.676086957,0.237215654
4,HS,0.432646593,0.675252771
4,HS,-0.020872865,0.61131205
4,HS,-0.298611111,1.034419232
4,HS,0.519287834,0.606474763
4,HS,0.444444444,0.589634317
4,HS,0.141608392,1.226364645
4,HS,0.371191136,0.167927364
4,HS,-0.096623981,0.858968154
4,HS,-0.508599509,0.161714817
4,HS,-0.541361257,0.315577843
4,HS,-0.197596796,0.682182895
4,HS,-0.183161004,0.585878338
4,HS,0.232443126,0.462565498
4,HS,0.283185841,0.62231206
4,HS,0.028268551,0.365179146
4,HS,0.581456954,0.110117137
4,HS,0.133727811,0.241872184
4,HS,0.424157303,0.724931377
4,HS,0.281708945,0.194248689
4,LS,-0.332695985,0.500075855
4,LS,-0.360759494,0.383682141
4,LS,-0.478382148,0.275388831
4,LS,0.27826087,0.512084587
4,LS,-0.528888889,0.656896306
4,LS,-0.485607009,0.114891981
4,LS,0.064171123,0.653918647
4,LS,0.385685885,0.712792281
4,LS,0.055555556,0.64527383
4,LS,0.36627907,0.81567509
4,LS,0.284785436,0.680207209
4,LS,0.180981595,1.004164425
4,LS,-0.501006036,0.571541916
4,LS,-0.025044723,0.88926401
4,LS,-0.02413273,0.927417853
4,LS,-0.804809052,0.235186531
4,LS,-0.036101083,0.725335356
4,LS,0.01236476,0.596981963
4,LS,-0.15279879,0.020962793
4,LS,0.25060241,0.58013268
4,LS,0.146428571,0.385587501
4,LS,0.263225806,0.628008099
4,LS,0.061264822,1.04402272
4,LS,0.134545455,0.831384388
4,LS,-0.238912732,0.862308557
4,LS,0.061699651,0.657332437
4,LS,-0.172173913,0.313275276
4,LS,-0.430309735,0.469416425
4,LS,0.529131986,0.395426582
4,LS,-0.090659341,0.92312598
4,LS,0.486419753,0.688543654
4,LS,0.193333333,0.311769145
4,LS,-0.001607717,0.498451921
4,LS,0.338174274,0.463557166
4,LS,-0.671686747,0.563438215
4,LS,-0.617852162,0.613585642
4,LS,-0.706849315,0.242012579
4,LS,0.507575758,0.816163335
4,LS,-0.098360656,0.110422183
4,LS,0.013769363,0.318983539
4,LS,-0.004043127,0.483200158
4,LS,-0.874788494,0.123089905
4,LS,-0.077504726,0.219371274
4,LS,0.309892729,0.447979768
4,LS,-0.079331942,0.314589604
4,LS,-0.632432432,0.355772598
4,LS,-0.5424,0.282670692
4,LS,-0.509615385,0.123242077
4,LS,0.146611342,0.241960071
4,LS,-0.494821634,0.312925175
